2026-01-17 10:36:37,940 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-17 10:36:39,903 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-17 10:37:03,219 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-17 10:37:03,322 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-17 10:37:13,108 - INFO - Phone migrated to 4
2026-01-17 10:37:13,234 - INFO - Reconnecting to new data center 4
2026-01-17 10:37:13,392 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2026-01-17 10:37:13,393 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2026-01-17 10:37:13,393 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2026-01-17 10:37:14,790 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2026-01-17 10:38:14,657 - INFO - Starting scrape for channel: lobelia4cosmetics
2026-01-17 10:38:31,957 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:32,147 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:32,503 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:32,684 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:32,912 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:33,114 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:33,310 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:33,748 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:34,002 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:34,146 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:34,288 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:34,685 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:35,069 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:35,224 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:35,403 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:35,794 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:35,949 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:36,106 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:36,258 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:36,436 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:36,572 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:36,755 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:36,929 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:37,316 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:37,546 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:37,738 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:37,922 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:38,131 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:38,488 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:38,608 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:38,785 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:38,909 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:39,031 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:39,227 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:39,402 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:39,572 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:39,767 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:40,154 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:40,501 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:40,692 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:40,884 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:41,095 - INFO - Saved 100 messages for lobelia4cosmetics to data/raw/telegram_messages/2026-01-17/lobelia4cosmetics.json
2026-01-17 10:38:41,095 - INFO - Starting scrape for channel: tikvahpharma
2026-01-17 10:38:41,653 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:42,114 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:42,338 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:42,496 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:38:42,691 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
